SD	ST	score
SD1	ST1	5
SD1	ST2	5
SD1	ST3	3
SD1	ST4	1
SD1	ST5	1
SD1	ST6	2
SD2	ST1	5
SD2	ST2	5
SD2	ST3	3
SD2	ST4	1
SD2	ST5	1
SD2	ST6	2
SD3	ST1	5
SD3	ST2	5
SD3	ST3	3
SD3	ST4	2
SD3	ST5	2
SD3	ST6	3
SD4	ST1	5
SD4	ST2	5
SD4	ST3	3
SD4	ST4	3
SD4	ST5	2
SD4	ST6	3
SD5	ST1	5
SD5	ST2	5
SD5	ST3	3
SD5	ST4	3
SD5	ST5	2
SD5	ST6	2
SD6	ST1	4
SD6	ST2	4
SD6	ST3	3
SD6	ST4	5
SD6	ST5	2
SD6	ST6	3
SD7	ST1	5
SD7	ST2	4
SD7	ST3	3
SD7	ST4	3
SD7	ST5	2
SD7	ST6	3
SD8	ST1	4
SD8	ST2	4
SD8	ST3	4
SD8	ST4	3
SD8	ST5	3
SD8	ST6	3
SD9	ST1	4
SD9	ST2	3
SD9	ST3	4
SD9	ST4	4
SD9	ST5	3
SD9	ST6	3
SD10	ST1	4
SD10	ST2	3
SD10	ST3	4
SD10	ST4	4
SD10	ST5	4
SD10	ST6	3
